Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande d'extrait d'acte de mariage (première délivrance et duplicata)
Organisme,Ministère de la Justice / Direction des Affaires Civiles et du Sceau (DACS) — Centre d'État Civil de Lomé et mairies des préfectures
Direction,Direction des Affaires Civiles et du Sceau (DACS)
Rôle de la direction,"Superviser la tenue des registres d'état civil (naissances, mariages, décès) sur l'ensemble du territoire togolais ; garantir l'authenticité et l'intégrité des actes civils."
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"L'extrait d'acte de mariage est un document officiel attestant de l'union légale entre deux personnes. Il est indispensable pour de nombreuses démarches administratives : demande de passeport, succession, regroupement familial, actes notariés, naturalisations, pensions, etc. La délivrance est assurée par l'officier d'état civil de la commune où le mariage a été célébré."
Texte réglementaire,"Ordonnance n°78-35 du 7 septembre 1978 portant Code de l'État Civil togolais, modifiée ; Décret d'application n°80-10 du 29 janvier 1980"
Parties non digitalisables selon la loi,"L'acte de mariage original doit être signé de la main de l'officier d'état civil. La légalisation de signature est une procédure physique. Le mariage lui-même (cérémonie civile) ne peut être célébré qu'en présence physique des parties."
Signature électronique reconnue,Non — la législation actuelle n'a pas encore reconnu la signature électronique pour les actes d'état civil.
Documentation officielle existante,Oui — registres d'état civil tenus en deux exemplaires (mairie + tribunal de grande instance)
Date de création du service,"L'état civil togolais est organisé depuis l'indépendance (1960). Le Code de l'État Civil a été promulgué en 1978 et reste en vigueur, avec des ajustements ponctuels."
,,
USAGERS,,
Public cible,"Tout citoyen togolais ou étranger marié sur le territoire togolais, ou conjoint d'un citoyen togolais, ayant besoin de prouver son union légale. Très souvent sollicité dans le cadre de démarches notariales, consulaires, ou familiales."
Conditions d'éligibilité,"• Être l'un des époux, ou un descendant direct, ou un représentant légal dûment mandaté
• Le mariage doit avoir été célébré au Togo et enregistré dans les registres de l'état civil de la commune concernée"
Volume estimé,"Environ 15 000 extraits d'actes de mariage délivrés par an sur l'ensemble du territoire, dont environ 5 000 à Lomé."
,,
PIÈCES JUSTIFICATIVES,,
