Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande de mise à la retraite et de liquidation de pension (agents de la Fonction Publique)
Organisme,Caisse de Retraite du Togo (CRT) / Ministère de la Fonction Publique
Direction,"Direction des Pensions à la CRT, en liaison avec la Direction des Ressources Humaines (DRH) du Ministère de la Fonction Publique"
Rôle de la direction,"Calculer, liquider et verser les droits à pension des agents de l'État togolais partant à la retraite. Gérer le portefeuille des pensionnés actifs et des ayants droit (pensions de réversion)."
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"Tout agent de la Fonction Publique togolais atteignant l'âge légal de la retraite (60 ans, ou 55 ans pour certaines catégories) ou bénéficiant d'une retraite anticipée doit constituer un dossier de liquidation de pension. La CRT calcule le montant de la pension mensuelle sur la base du dernier indice salarial et des annuités validées, puis verse mensuellement la pension au retraité."
Texte réglementaire,"Loi n°2005-003 du 23 juillet 2005 portant Statut Général de la Fonction Publique ; Décret n°2005-054 du 8 juillet 2005 portant Règlement de la CRT ; Code des Pensions civiles et militaires (Décret n°92-142)"
Parties non digitalisables selon la loi,"La signature du Ministre de la Fonction Publique sur l'acte de mise à la retraite est obligatoire. La vérification physique de l'identité du pensionné (contrôle d'existence annuel ou semestriel) est requise pour éviter les pensions frauduleuses versées à des personnes décédées."
Signature électronique reconnue,Non — l'acte de mise à la retraite et le titre de pension sont des actes administratifs nécessitant une signature manuscrite.
Documentation officielle existante,"Oui — guide du pensionné CRT, modèles de formulaires, note de service sur la procédure de liquidation."
Date de création du service,"La CRT a été créée en 1960 à l'indépendance. Le régime de pension des fonctionnaires a été refondu en 1992 et 2005."
,,
USAGERS,,
Public cible,"Agents titulaires de la Fonction Publique togolaise en fin de carrière (retraite d'office à 60 ans, retraite anticipée à la demande, retraite pour invalidité). Ayants droit (conjoint survivant, orphelins) pour la pension de réversion."
