Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande et délivrance de la Carte Nationale d'Identité (CNI)
Organisme,Ministère de la Sécurité et de la Protection Civile / Direction Générale de la Documentation Nationale (DGDN)
Direction,Direction Générale de la Documentation Nationale (DGDN)
Rôle de la direction,"Produire et gérer les documents d'identité des citoyens togolais : Carte Nationale d'Identité, passeport, titre de voyage. La DGDN est l'autorité centrale de certification de l'identité des personnes physiques sur le territoire togolais."
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"La Carte Nationale d'Identité est le document officiel permettant à tout citoyen togolais d'attester de son identité sur le territoire national et dans certains pays de la CEDEAO. Elle est obligatoire pour de nombreuses démarches administratives (ouverture de compte bancaire, accès à certains services publics, vote). La DGDN produit et personnalise les CNI sur une chaîne sécurisée centralisée à Lomé, mais les dossiers sont collectés dans les préfectures via les Centres de Documentation (CD)."
Texte réglementaire,"Loi n°98-004 du 11 février 1998 relative à la Carte Nationale d'Identité togolaise ; Décret n°2010-091 du 16 juillet 2010 portant réforme et modernisation de la CNI biométrique ; Arrêté n°014/MSP du 12 mars 2015 fixant les tarifs et les modalités de délivrance"
Parties non digitalisables selon la loi,"La capture biométrique (photo, empreintes digitales, signature) doit obligatoirement être réalisée en présence physique du demandeur dans un Centre de Documentation agréé. La remise du titre physique est obligatoire."
Signature électronique reconnue,Non applicable — la CNI est un titre physique sécurisé.
Documentation officielle existante,"Oui — procédure DGDN, guide de l'usager, tarifs officiels."
Date de création du service,"La CNI togolaise existe depuis 1960. Réforme biométrique majeure en 2010 avec introduction de la puce électronique et des empreintes digitales."
,,
USAGERS,,
Public cible,"Tout citoyen togolais âgé de 15 ans et plus résidant au Togo ou à l'étranger. La CNI est obligatoire pour l'exercice du droit de vote dès 18 ans."
Conditions d'éligibilité,"• Être de nationalité togolaise (par naissance, filiation ou naturalisation)
• Être âgé d'au moins 15 ans
• Justifier de son état civil par un acte de naissance ou un jugement supplétif"
Volume estimé,"Environ 250 000 CNI délivrées par an sur l'ensemble du territoire, tous types confondus (première demande, renouvellement, duplicata)."
,,
PIÈCES JUSTIFICATIVES,,
