Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande d'autorisation d'ouverture d'un établissement d'enseignement privé (préscolaire / primaire / secondaire)
Organisme,Ministère des Enseignements Primaire et Secondaire (MEPS) / Direction de l'Enseignement Privé (DEP)
Direction,Direction de l'Enseignement Privé (DEP)
Rôle de la direction,"Agréer, contrôler et encadrer les établissements scolaires privés sur l'ensemble du territoire togolais. S'assurer que les établissements privés respectent les programmes officiels, les normes pédagogiques, hygiéniques et de sécurité en vigueur."
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"Toute personne physique ou morale souhaitant ouvrir un établissement d'enseignement privé (école maternelle, primaire, collège, lycée) doit obtenir une autorisation d'ouverture délivrée par le MEPS avant tout début d'activité. Cette autorisation atteste que l'établissement satisfait aux normes pédagogiques, infrastructurelles et administratives fixées par l'État."
Texte réglementaire,"Loi n°2004-004 du 15 juillet 2004 portant orientation de l'éducation nationale ; Décret n°2011-082 du 9 juin 2011 fixant les conditions d'ouverture et de fonctionnement des établissements privés d'enseignement ; Arrêté ministériel de 2014 précisant les normes architecturales et pédagogiques."
Parties non digitalisables selon la loi,"La visite d'inspection sur site est obligatoire avant la délivrance de l'autorisation : un inspecteur du MEPS doit constater physiquement la conformité des locaux, des équipements et du personnel."
Signature électronique reconnue,Non — l'arrêté d'autorisation est signé par le Directeur de l'Enseignement Privé et contresigné par le Ministre.
Documentation officielle existante,"Oui — guide de procédures de la DEP, checklists d'inspection, arrêtés de référence."
Date de création du service,"Cadre réglementaire structuré en 1975, profondément réformé en 2004 et 2011."
,,
USAGERS,,
Public cible,"Personnes physiques (promoteurs individuels) ou morales (associations, congrégations religieuses, ONG, sociétés) souhaitant créer et gérer un établissement scolaire privé au Togo."
Conditions d'éligibilité,"• Être de nationalité togolaise ou posséder un titre de séjour valide (pour les étrangers)
• Disposer de locaux conformes aux normes (surfaces minimales, sanitaires séparés, clôture)
• Présenter un projet pédagogique aligné sur les programmes officiels du MEPS
• Justifier d'un personnel encadrant qualifié
• Ne pas avoir fait l'objet d'une interdiction d'exercer dans le secteur de l'éducation"
