Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande d'extrait de certificat de nationalité (duplicata)
Organisme,Ministère de la Justice et de la Législation / Direction des Affaires Civiles et du Sceau (DACS)
Direction,Direction des Affaires Civiles et du Sceau (DACS)
Rôle de la direction,"Administrer les actes civils et les documents officiels relatifs à l'état et à la nationalité des personnes ; délivrer les certificats de nationalité togolaise ; tenir le registre central de la nationalité."
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"Le certificat de nationalité est un document officiel délivré par l'autorité judiciaire attestant qu'une personne possède la nationalité togolaise. Il est requis pour de nombreuses démarches administratives : inscription à un concours de la fonction publique, constitution d'un dossier de passeport, création d'entreprise, acquisition foncière, obtention de bourses d'études, etc. Lorsque le certificat original est perdu, volé ou détérioré, le citoyen peut demander un duplicata auprès du tribunal de première instance de son lieu de naissance ou de résidence, ou auprès de la DACS à Lomé."
Texte réglementaire,"Code de la nationalité togolaise (Ordonnance n°78-34 du 7 septembre 1978 portant code de la nationalité togolaise, modifiée par la loi n°2007-010 du 13 mars 2007) ; Code de l'organisation judiciaire"
Parties non digitalisables selon la loi,"La signature du certificat de nationalité doit obligatoirement être apposée par un magistrat habilité (président du tribunal ou juge délégué). Le cachet du tribunal et la signature manuscrite du magistrat sont des éléments de validité juridique non substituables par une signature électronique à ce jour."
Signature électronique reconnue,"Non — le certificat de nationalité est un acte judiciaire nécessitant la signature manuscrite d'un magistrat et le cachet du tribunal."
Documentation officielle existante,"Oui — formulaire de demande disponible aux greffes des tribunaux et à la DACS."
Date de création du service,"Service existant depuis l'adoption du Code de la nationalité en 1978. Dernière modification législative en 2007."
,,
USAGERS,,
Public cible,"Tout citoyen togolais (par naissance, par filiation ou par naturalisation) ayant perdu, détérioré ou égaré son certificat de nationalité original et ayant besoin d'un duplicata pour des démarches administratives."
Conditions d'éligibilité,"• Être de nationalité togolaise
• Justifier de la perte, du vol ou de la détérioration du certificat original (déclaration de perte ou attestation)
• Fournir les pièces justificatives requises
• S'acquitter des frais de délivrance"
