Rubrique,Détail
,,
IDENTIFICATION DU SERVICE,,
Nom du service,Demande et délivrance du permis de conduire (catégories A / B / C / D / E)
Organisme,Ministère des Transports / Direction des Transports Routiers et Ferroviaires (DTRF)
Direction,Direction des Transports Routiers et Ferroviaires (DTRF)
Rôle de la direction,Réguler et superviser la circulation routière ; gérer les examens du code et du circuit ; délivrer les permis de conduire sur le territoire togolais.
,,
CONTEXTE ET BASE LÉGALE,,
Description du service,"Le permis de conduire est le titre officiel autorisant son titulaire à conduire un véhicule à moteur sur la voie publique. Il est délivré après réussite aux épreuves théoriques (code) et pratiques (circuit et route), organisées par la DTRF en liaison avec les auto-écoles agréées."
Texte réglementaire,Loi n°2004-003 du 24 janvier 2004 relative à la sécurité routière au Togo et ses décrets d'application
Parties non digitalisables selon la loi,"L'épreuve pratique de conduite (circuit + route) doit obligatoirement se dérouler en présence physique d'un inspecteur assermenté. La signature du permis par le candidat est physiquement requise."
Signature électronique reconnue,Non — le permis est un document sécurisé à signature manuscrite.
Documentation officielle existante,Oui — guide de l'examinateur (DTRF) + arrêté fixant les barèmes de notation
Date de création du service,Le permis de conduire togolais existe depuis 1975. Réforme majeure en 2004 avec l'introduction des catégories CE / DE.
,,
USAGERS,,
Public cible,"Tout citoyen togolais ou résident légal âgé d'au moins 18 ans (catégorie B) souhaitant conduire un véhicule à moteur. Pour la catégorie A (moto) : 16 ans minimum. Pour les catégories C et D (poids lourds, bus) : 21 ans minimum avec permis B déjà acquis."
Conditions d'éligibilité,"• Être âgé du minimum requis selon la catégorie demandée
• Fournir un certificat médical d'aptitude à la conduite (vision, réflexes, santé générale)
• Avoir suivi la formation théorique et pratique dans une auto-école agréée par la DTRF
• Avoir réussi l'épreuve du code de la route (minimum 35/40)
• Avoir réussi l'épreuve de conduite (circuit + route, notée sur 20, minimum 10/20)"
Volume estimé,"Environ 8 000 permis délivrés par an sur l'ensemble du territoire, avec une forte concentration à Lomé (≈ 60 %)."
,,
PIÈCES JUSTIFICATIVES,,
